DATE, TIME, TRACK NUM, EZ, EX, SPEED (mph), 
16APR24, 17:45:47.8, Track 1, 98, 98, 34, 
16APR24, 17:46:25.7, Track 1, 101, 97, 48, 
16APR24, 17:47:29.5, Track 1, 98, 98, 42, 
16APR24, 17:47:38.6, Track 1, 101, 97, 53, 
16APR24, 17:47:55.1, Track 1, 98, 98, 29, 
16APR24, 17:48:55.6, Track 1, 101, 97, 43, 
16APR24, 17:49:35.5, Track 1, 98, 98, 44, 
16APR24, 17:49:36.7, Track 3, 99, 99, 60, 
16APR24, 17:49:44.7, Track 1, 101, 97, 18, 
16APR24, 17:49:47.9, Track 3, 102, 98, 7, 
16APR24, 17:50:00.3, Track 3, 99, 99, 41, 
16APR24, 17:50:51.7, Track 1, 98, 98, 50, 
16APR24, 17:51:01.7, Track 1, 101, 97, 30, 
16APR24, 17:51:16.7, Track 1, 98, 98, 12, 
16APR24, 17:51:37.5, Track 1, 101, 98, 48, 
16APR24, 17:51:41.1, Track 1, 98, 98, 31, 
16APR24, 17:51:54.3, Track 1, 101, 97, 34, 
16APR24, 17:51:58.7, Track 3, 102, 99, 22, 
16APR24, 17:52:33.4, Track 1, 98, 98, 4, 
16APR24, 17:52:43.7, Track 1, 101, 97, 17, 
16APR24, 17:52:57.3, Track 3, 99, 100, 23, 
16APR24, 17:52:57.7, Track 1, 98, 98, 46, 
16APR24, 17:53:07.6, Track 1, 101, 97, 71, 
16APR24, 17:53:10.4, Track 3, 102, 98, 68, 
16APR24, 17:53:22.4, Track 1, 98, 98, 35, 
16APR24, 17:53:45.1, Track 3, 99, 100, 37, 
16APR24, 17:54:04.3, Track 3, 102, 99, 40, 
16APR24, 17:54:12.3, Track 3, 99, 99, 17, 
16APR24, 17:54:25.0, Track 1, 101, 97, 45, 
16APR24, 17:55:04.1, Track 1, 98, 98, 31, 
16APR24, 17:55:13.6, Track 1, 101, 97, 58, 
16APR24, 17:55:17.6, Track 3, 102, 98, , 
16APR24, 17:55:28.0, Track 3, 99, 100, 21, 
16APR24, 17:56:19.0, Track 1, 98, 98, 30, 
16APR24, 17:56:30.6, Track 1, 101, 97, 35, 
16APR24, 17:56:34.2, Track 3, 102, 99, 47, 
16APR24, 17:57:10.9, Track 1, 98, 98, 21, 
16APR24, 17:57:20.0, Track 1, 101, 97, 29, 
16APR24, 17:57:35.6, Track 1, 98, 98, 31, 
16APR24, 17:57:44.4, Track 1, 101, 97, 28, 
16APR24, 17:57:57.6, Track 3, 99, 100, 1, 
16APR24, 17:58:16.3, Track 3, 102, 99, 34, 
16APR24, 17:58:25.1, Track 3, 99, 99, 23, 
16APR24, 17:58:27.1, Track 1, 98, 98, 48, 
16APR24, 17:58:37.0, Track 1, 101, 97, 35, 
16APR24, 17:58:40.7, Track 3, 102, 99, 61, 
16APR24, 17:58:49.0, Track 3, 99, 99, 40, 
16APR24, 17:59:15.7, Track 1, 98, 98, 23, 
16APR24, 17:59:25.7, Track 1, 101, 97, 22, 
16APR24, 17:59:29.3, Track 3, 102, 98, 33, 
16APR24, 17:59:38.4, Track 3, 99, 100, 41, 
16APR24, 17:59:41.3, Track 1, 98, 98, 21, 
16APR24, 18:00:43.4, Track 1, 102, 97, , 
16APR24, 18:00:46.6, Track 3, 102, 99, 29, 
16APR24, 18:00:55.4, Track 3, 99, 99, 16, 
16APR24, 18:01:21.3, Track 1, 99, 98, 26, 
16APR24, 18:01:31.7, Track 1, 101, 97, 19, 
16APR24, 18:01:51.6, Track 1, 98, 98, 33, 
16APR24, 18:02:00.0, Track 1, 101, 97, 9, 
16APR24, 18:02:39.5, Track 1, 98, 98, 74, 
16APR24, 18:02:49.5, Track 1, 101, 97, 10, 
16APR24, 18:02:52.2, Track 3, 102, 99, 50, 
16APR24, 18:03:03.0, Track 1, 98, 98, 21, 
16APR24, 18:03:13.7, Track 1, 101, 97, 41, 
16APR24, 18:03:26.5, Track 3, 99, 100, 46, 
16APR24, 18:03:29.7, Track 1, 98, 98, , 
16APR24, 18:03:38.2, Track 1, 101, 97, 18, 
16APR24, 18:03:41.6, Track 3, 102, 98, 29, 
16APR24, 18:03:53.2, Track 1, 98, 98, 28, 
16APR24, 18:04:06.5, Track 1, 101, 97, 42, 
16APR24, 18:04:18.9, Track 1, 98, 98, 48, 
16APR24, 18:04:42.6, Track 3, 99, 99, 33, 
16APR24, 18:04:55.5, Track 1, 101, 97, 42, 
16APR24, 18:04:58.3, Track 3, 102, 99, 54, 
16APR24, 18:05:07.4, Track 3, 99, 100, 35, 
16APR24, 18:05:09.4, Track 1, 98, 98, 33, 
16APR24, 18:05:19.5, Track 1, 101, 97, 54, 
16APR24, 18:05:46.9, Track 3, 102, 98, 35, 
16APR24, 18:05:56.5, Track 3, 99, 100, 28, 
16APR24, 18:05:59.3, Track 1, 98, 98, 36, 
16APR24, 18:06:12.5, Track 1, 101, 97, 47, 
16APR24, 18:06:24.8, Track 1, 98, 98, 36, 
16APR24, 18:06:37.2, Track 1, 101, 97, 20, 
16APR24, 18:06:51.1, Track 1, 98, 98, 12, 
16APR24, 18:07:01.1, Track 1, 101, 97, 31, 
16APR24, 18:07:04.3, Track 3, 102, 99, 70, 
16APR24, 18:07:13.9, Track 3, 99, 100, 23, 
16APR24, 18:08:04.9, Track 1, 98, 98, 37, 
16APR24, 18:08:18.5, Track 1, 101, 97, 27, 
16APR24, 18:08:22.0, Track 3, 102, 99, 16, 
16APR24, 18:08:30.4, Track 3, 99, 99, 13, 
16APR24, 18:08:30.8, Track 1, 98, 98, 15, 
16APR24, 18:09:07.0, Track 1, 101, 97, 28, 
16APR24, 18:09:22.2, Track 1, 98, 98, 35, 
16APR24, 18:09:31.8, Track 1, 101, 97, 18, 
16APR24, 18:09:58.9, Track 3, 102, 98, 40, 
16APR24, 18:10:11.7, Track 1, 98, 98, 35, 
16APR24, 18:10:23.7, Track 1, 101, 97, 43, 
16APR24, 18:11:28.7, Track 1, 98, 98, 31, 
16APR24, 18:11:37.4, Track 1, 101, 97, 16, 
16APR24, 18:11:54.5, Track 1, 98, 98, 31, 
16APR24, 18:12:02.6, Track 1, 101, 97, 2, 
16APR24, 18:12:18.9, Track 3, 99, 99, 26, 
16APR24, 18:12:34.1, Track 3, 102, 99, 18, 
16APR24, 18:13:33.4, Track 3, 99, 100, 33, 
16APR24, 18:13:34.2, Track 1, 98, 98, 22, 
16APR24, 18:13:43.4, Track 1, 101, 97, 24, 
16APR24, 18:13:46.6, Track 3, 102, 99, 41, 
16APR24, 18:13:57.0, Track 3, 99, 100, 49, 
16APR24, 18:13:59.0, Track 1, 98, 98, 22, 
16APR24, 18:14:08.2, Track 1, 101, 97, 8, 
16APR24, 18:14:40.1, Track 3, 102, 99, 29, 
16APR24, 18:14:48.0, Track 1, 98, 98, 34, 
16APR24, 18:15:00.8, Track 1, 101, 97, 55, 
16APR24, 18:15:15.5, Track 1, 98, 98, 8, 
16APR24, 18:15:39.5, Track 3, 99, 100, 34, 
16APR24, 18:15:49.0, Track 1, 101, 97, 60, 
16APR24, 18:15:53.0, Track 3, 102, 98, 14, 
16APR24, 18:16:05.0, Track 1, 98, 98, 15, 
16APR24, 18:16:13.7, Track 1, 101, 97, 32, 
16APR24, 18:16:31.4, Track 3, 98, 100, 24, 
16APR24, 18:16:41.3, Track 3, 101, 98, 42, 
16APR24, 18:16:57.2, Track 1, 98, 98, 65, 
16APR24, 18:17:07.1, Track 1, 101, 97, 95, 
16APR24, 18:17:45.5, Track 1, 98, 98, 29, 
16APR24, 18:17:47.9, Track 3, 98, 99, 42, 
16APR24, 18:17:55.8, Track 1, 101, 97, 15, 
16APR24, 18:17:57.5, Track 3, 101, 99, 7, 
16APR24, 18:18:37.3, Track 3, 98, 100, 35, 
16APR24, 18:18:46.8, Track 3, 101, 99, 25, 
16APR24, 18:19:00.4, Track 1, 98, 98, 29, 
16APR24, 18:19:02.4, Track 3, 98, 100, 13, 
16APR24, 18:19:13.2, Track 1, 101, 97, 31, 
16APR24, 18:20:03.5, Track 3, 101, 99, 13, 
